id,country_id,country_code,country_name,region_id,region_name,income_group_id,income_group_name,income_group_acronym,implementing_agency_id,implementing_agency_acronym,implementing_agency_name,implementing_subagency_id,subagency_acronym,subagency_name,channel_category_id,channel_category_name,channel_subcategory_name,channel_subcategory_id,channel_id,channel_name,dac_category_id,dac_category_name,dac_sector_code,dac_sector_name,dac_purpose_code,dac_purpose_name,funding_account_id,funding_account_name,assistance_category_id,assistance_category_name,activity_id,activity_name,activity_project_number,activity_start_date,activity_end_date,transaction_type_id,transaction_type_name,fiscal_year,current_amount,constant_amount,funding_agency_id,funding_agency_name,funding_agency_acronym,aid_type_group_id,aid_type_group_name,activity_description,USG_sector_id,USG_sector_name,submission_id
14664420,1002,WLD,World,7,World,0,NULL,NULL,1,USAID,U.S. Agency for International Development,999,NULL,not applicable,1,Government,Government - United States,1,1000001,U.S. Government - U.S. Agency for International Development,7,Other,430,Other Multisector,43010,Multisector aid,72x1021,"Agency for International Development, Development Assistance",1,Economic,215819,USAID Country Program Carry in from prior FY (DA),UBJ00029,,,2,Obligations,2000,180027000,245545603,1,U.S. Agency for International Development,USAID,3,Project-Type,USAID Country Program Carry in from prior FY (DA),25,Macroeconomic Foundation for Growth,999
14664484,804,UKR,Ukraine,2,Europe and Eurasia,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,999,NULL,not applicable,1,Government,Government - United States,1,1000001,U.S. Government - U.S. Agency for International Development,7,Other,430,Other Multisector,43010,Multisector aid,72x1093,Assistance for the Independent States of the Former Soviet Union,1,Economic,215811,USAID Country Program (FSA),UBJ00021,,,2,Obligations,2000,170851000,233030111,1,U.S. Agency for International Development,USAID,3,Project-Type,USAID Country Program (FSA),25,Macroeconomic Foundation for Growth,999
14664589,1071,CS-KM,Kosovo,2,Europe and Eurasia,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,999,NULL,not applicable,1,Government,Government - United States,1,1000001,U.S. Government - U.S. Agency for International Development,7,Other,430,Other Multisector,43010,Multisector aid,72x1010,Assistance for Eastern Europe and the Baltic States,1,Economic,215812,USAID Country Program (SEED),UBJ00022,,,2,Obligations,2000,155273000,211782690,1,U.S. Agency for International Development,USAID,3,Project-Type,USAID Country Program (SEED),25,Macroeconomic Foundation for Growth,999
14664607,1002,WLD,World,7,World,0,NULL,NULL,1,USAID,U.S. Agency for International Development,999,NULL,not applicable,1,Government,Government - United States,1,1000001,U.S. Government - U.S. Agency for International Development,7,Other,430,Other Multisector,43010,Multisector aid,72x1021,"Agency for International Development, Development Assistance",1,Economic,215834,"USAID Global Programs: Center for Population, Health & Nutrition (DA)",UBJ00044,,,2,Obligations,2000,152303000,207731795,1,U.S. Agency for International Development,USAID,3,Project-Type,"USAID Global Programs: Center for Population, Health & Nutrition (DA)",25,Macroeconomic Foundation for Growth,999
14664617,1002,WLD,World,7,World,0,NULL,NULL,1,USAID,U.S. Agency for International Development,999,NULL,not applicable,1,Government,Government - United States,1,1000001,U.S. Government - U.S. Agency for International Development,7,Other,430,Other Multisector,43010,Multisector aid,72x1010,Assistance for Eastern Europe and the Baltic States,1,Economic,215822,USAID Country Program Carry in from prior FY (SEED),UBJ00032,,,2,Obligations,2000,150444000,205196235,1,U.S. Agency for International Development,USAID,3,Project-Type,USAID Country Program Carry in from prior FY (SEED),25,Macroeconomic Foundation for Growth,999
14664642,400,JOR,Jordan,3,Middle East and North Africa,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,999,NULL,not applicable,1,Government,Government - United States,1,1000001,U.S. Government - U.S. Agency for International Development,7,Other,430,Other Multisector,43010,Multisector aid,72x1037,Economic Support Fund,1,Economic,215810,USAID Country Program (ESF),UBJ00020,,,2,Obligations,2000,149500000,203908678,1,U.S. Agency for International Development,USAID,3,Project-Type,USAID Country Program (ESF),25,Macroeconomic Foundation for Growth,999
14664751,643,RUS,Russia,2,Europe and Eurasia,3,Upper Middle Income Country,UMIC,7,DOD,Department of Defense,18,DTRA,Defense Threat Reduction Agency,1,Government,Government - United States,1,1000003,U.S. Government - Department of Defense,4,Infrastructure,230,Energy,23510,Nuclear energy electric power plants,97x0134,"Department of Defense, Cooperative Threat Reduction Account",2,Military,18159,Cooperative Threat Reduction Program: Strategic Offensive Arms Elimination [non-ODA],NULL,,,2,Obligations,2000,135672159,185048365,7,Department of Defense,DOD,3,Project-Type,"Strategic Offensive Arms Elimination (SOAE) Program -DoD continues to assist by contracting for and overseeing destruction of strategic weapons delivery systems in accordance with the SOAE Implementing Agreement and applicable Strategic Arms Reduction Treaty (START) provisions, including the START Conversion or Elimination Protocol. CTR Program assistance remains an incentive for Russia to draw down its Soviet-legacy nuclear forces, thereby reducing opportunities for their proliferation or use. DoD provides equipment and services to destroy or dismantle ICBMs, ICBM silo launchers, road and rail mobile launchers, SLBMs, SLBM launchers, reactor cores of associated strategic nuclear-powered ballistic missile submarines (SSBNs), and WMD infrastructure. DoD also supports placement of spent fuel from naval nuclear reactors, referred to as Spent Naval Fuel (SNF), prior to its elimination, into casks designed for long-term storage as well as logistical and maintenance support for equipment.",2,Combating Weapons of Mass Destruction (WMD),17
14664841,170,COL,Colombia,6,Western Hemisphere,3,Upper Middle Income Country,UMIC,7,DOD,Department of Defense,15,CN,Office of Counternarcotics,1,Government,Government - United States,1,1000003,U.S. Government - Department of Defense,3,Governance,160,Other Social Infrastructure and Services,16063,Narcotics control,97x0105,"Department of Defense, Drug Interdiction and Counter-Drug Activities",2,Military,18115,In-Country Counternarcotics Program,NULL,,,2,Obligations,2000,128534000,175312361,7,Department of Defense,DOD,4,Technical Assistance,"In-Country Counternarcotics Program under U.S. Southern Command.  ICDP enables the Secretary of Defense to provide foreign governments with support for the counter-drug activities of that government, such as training and equipment.",4,Counter-Narcotics,16
14664842,170,COL,Colombia,6,Western Hemisphere,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,999,NULL,not applicable,1,Government,Government - United States,1,1000001,U.S. Government - U.S. Agency for International Development,7,Other,430,Other Multisector,43010,Multisector aid,72x1037,Economic Support Fund,1,Economic,215810,USAID Country Program (ESF),UBJ00020,,,2,Obligations,2000,128499000,175264624,1,U.S. Agency for International Development,USAID,3,Project-Type,USAID Country Program (ESF),25,Macroeconomic Foundation for Growth,999
14664858,1033,SSN,Sub-Saharan Africa Region,5,Sub-Saharan Africa,0,NULL,NULL,4,TREAS,Department of the Treasury,143,OIA,Office of International Affairs,7,Multilateral,Multilateral - Regional Development Banks,17,4000010,African Development Fund,7,Other,998,Unallocated/ Unspecified,99810,Sectors not specified,11x0079,African Development Fund,1,Economic,31891,African Development Fund (AfDF) - Deposit Basis,NULL,,,2,Obligations,2000,127000000,173220081,4,Department of the Treasury,TREAS,2,Core contributions,The African Development Fund (AfDF) provides grants and concessional loans to the region's poorest countries.,43,International Contributions,32
14664884,400,JOR,Jordan,3,Middle East and North Africa,3,Upper Middle Income Country,UMIC,7,DOD,Department of Defense,16,DSCA,Defense Security Cooperation Agency,1,Government,Government - United States,1,1000003,U.S. Government - Department of Defense,3,Governance,152,"Conflict, Peace, and Security",15210,Security system management and reform,11x1082,Foreign Military Financing Program,2,Military,25271,"DOD - Foreign Military Financing (FMF) Program, Payment Waived",NULL,,,2,Obligations,2000,124915000,170376271,7,Department of Defense,DOD,3,Project-Type,"The amount of credit extended to a foreign government or international organization in any fiscal year for the procurement of defense articles, defense services, and design and construction services.",3,Stabilization Operations and Security Sector Reform,27
14664891,1002,WLD,World,7,World,0,NULL,NULL,1,USAID,U.S. Agency for International Development,999,NULL,not applicable,1,Government,Government - United States,1,1000001,U.S. Government - U.S. Agency for International Development,7,Other,430,Other Multisector,43010,Multisector aid,72x1095,"Agency for International Development, Child Survival and Health Programs Fund",1,Economic,215833,"USAID Global Programs: Center for Population, Health & Nutrition (CSD)",UBJ00043,,,2,Obligations,2000,124364000,169624741,1,U.S. Agency for International Development,USAID,3,Project-Type,"USAID Global Programs: Center for Population, Health & Nutrition (CSD)",25,Macroeconomic Foundation for Growth,999
14665081,68,BOL,Bolivia,6,Western Hemisphere,2,Lower Middle Income Country,LMIC,2,STATE,Department of State,62,INL,International Narcotics and Law Enforcement Affairs,1,Government,Government - United States,1,1000004,U.S. Government - Department of State,3,Governance,151,Government and Civil Society,15130,Legal and judicial development,11x1022,International Narcotics Control and Law Enforcement,1,Economic,74896,International Narcotics & Law Enforcement: Country Program (Supplemental),NULL,,,2,Obligations,2000,110000000,150033141,2,Department of State,STATE,3,Project-Type,Department of State's International Narcotics Control and Law Enforcement Program - Country Program (Supplemental),7,Rule of Law and Human Rights,58
14665101,1002,WLD,World,7,World,0,NULL,NULL,16,PC,Peace Corps,999,NULL,not applicable,1,Government,Government - United States,1,1000012,U.S. Government - Peace Corps,10,Administrative Costs,911,Operating Expenses,91010,Operating Expenses,11x0100,Peace Corps,1,Economic,69698,"U.S. Peace Corps, Washington Headquarters and Global Programs",NULL,,,2,Obligations,2000,108240000,147632611,16,Peace Corps,PC,6,Administrative Costs,"Provides direct and indirect support for Peace Corps operations in over 70 countries around the world, including the necessary safety and security provisions for volunteers, trainees, and staff.",41,Direct Administrative Costs,44
14665320,1002,WLD,World,7,World,0,NULL,NULL,1,USAID,U.S. Agency for International Development,999,NULL,not applicable,1,Government,Government - United States,1,1000001,U.S. Government - U.S. Agency for International Development,7,Other,430,Other Multisector,43010,Multisector aid,72x1095,"Agency for International Development, Child Survival and Health Programs Fund",1,Economic,215803,USAID Adjustments (CSD),UBJ00013,,,2,Obligations,2000,98834000,134803413,1,U.S. Agency for International Development,USAID,3,Project-Type,USAID Adjustments (CSD),25,Macroeconomic Foundation for Growth,999
14665364,268,GEO,Georgia,2,Europe and Eurasia,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,999,NULL,not applicable,1,Government,Government - United States,1,1000001,U.S. Government - U.S. Agency for International Development,7,Other,430,Other Multisector,43010,Multisector aid,72x1093,Assistance for the Independent States of the Former Soviet Union,1,Economic,215811,USAID Country Program (FSA),UBJ00021,,,2,Obligations,2000,96120000,131101687,1,U.S. Agency for International Development,USAID,3,Project-Type,USAID Country Program (FSA),25,Macroeconomic Foundation for Growth,999
14665375,1002,WLD,World,7,World,0,NULL,NULL,1,USAID,U.S. Agency for International Development,999,NULL,not applicable,1,Government,Government - United States,1,1000001,U.S. Government - U.S. Agency for International Development,7,Other,430,Other Multisector,43010,Multisector aid,72x1037,Economic Support Fund,1,Economic,215882,USAID:  Net Transfers (ESF),UBJ00092,,,2,Obligations,2000,95779400,130637129,1,U.S. Agency for International Development,USAID,3,Project-Type,USAID:  Net Transfers (ESF),25,Macroeconomic Foundation for Growth,999
14665377,643,RUS,Russia,2,Europe and Eurasia,3,Upper Middle Income Country,UMIC,7,DOD,Department of Defense,18,DTRA,Defense Threat Reduction Agency,1,Government,Government - United States,1,1000003,U.S. Government - Department of Defense,3,Governance,152,"Conflict, Peace, and Security",15210,Security system management and reform,97x0134,"Department of Defense, Cooperative Threat Reduction Account",2,Military,18151,Cooperative Threat Reduction Program: Nuclear Weapons Storage Security [non-ODA],NULL,,,2,Obligations,2000,95715961,130550602,7,Department of Defense,DOD,3,Project-Type,"Nuclear Weapons Storage Security (NWSS) Program - In accordance with the Nuclear Weapons Storage Security (NWSS) Implementing Agreement, this program helps support proliferation prevention by providing enhancements to the security systems of nuclear weapons storage sites.",2,Combating Weapons of Mass Destruction (WMD),17
14665554,1023,MNS,Middle East and North Africa Region,3,Middle East and North Africa,0,NULL,NULL,2,STATE,Department of State,67,PRM,"Population, Refugees, and Migration",7,Multilateral,Multilateral - United Nations,12,4000465,United Nations Relief and Works Agency,9,Humanitarian,720,Emergency Response,72010,Material relief assistance and services,19x1143,"Department of  State, Migration and Refugee Assistance",1,Economic,83659,Refugee Assistance Activities,NULL,,,2,Obligations,2000,88000000,120026513,2,Department of State,STATE,2,Core contributions,"United States Population Migration and Refugee Assistance, Appropriation 1143.  Protection and assistance needs of refugees, migrants and conflict vicitms worldwide. [United Nations Relief and Works Agency]",37,"Protection, Assistance and Solutions",65
14665578,1002,WLD,World,7,World,0,NULL,NULL,1,USAID,U.S. Agency for International Development,999,NULL,not applicable,1,Government,Government - United States,1,1000001,U.S. Government - U.S. Agency for International Development,7,Other,430,Other Multisector,43010,Multisector aid,72x1021,"Agency for International Development, Development Assistance",1,Economic,215828,USAID Global Programs: Center for Economic Growth & Agr Dev (DA),UBJ00038,,,2,Obligations,2000,86978000,118632569,1,U.S. Agency for International Development,USAID,3,Project-Type,USAID Global Programs: Center for Economic Growth & Agr Dev (DA),25,Macroeconomic Foundation for Growth,999
14665685,51,ARM,Armenia,2,Europe and Eurasia,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,999,NULL,not applicable,1,Government,Government - United States,1,1000001,U.S. Government - U.S. Agency for International Development,7,Other,430,Other Multisector,43010,Multisector aid,72x1093,Assistance for the Independent States of the Former Soviet Union,1,Economic,215811,USAID Country Program (FSA),UBJ00021,,,2,Obligations,2000,83145000,113404596,1,U.S. Agency for International Development,USAID,3,Project-Type,USAID Country Program (FSA),25,Macroeconomic Foundation for Growth,999
14665869,1006,ASN,Asia Region,7,World,0,NULL,NULL,4,TREAS,Department of the Treasury,143,OIA,Office of International Affairs,7,Multilateral,Multilateral - Regional Development Banks,17,4000033,Asian Development Fund,7,Other,998,Unallocated/ Unspecified,99810,Sectors not specified,11x0076,Asian Development Fund,1,Economic,31893,"Asian Development Bank (ADB), Asian Development Fund (ADF) - Deposit Basis",NULL,,,2,Obligations,2000,77000000,105023199,4,Department of the Treasury,TREAS,2,Core contributions,"The Asian Development Bank (ADB) fosters broad-based sustainable economic growth and development, poverty alleviation, and cooperation in the Asia/Pacific Region. ADB has two main financing windows: the ordinary capital window and the Asian Development Fund (ADF) which lends at concesssional rates to the region's poorest countries.",43,International Contributions,32
14665910,1009,EEE,Central and Eastern Europe Region,2,Europe and Eurasia,0,NULL,NULL,1,USAID,U.S. Agency for International Development,999,NULL,not applicable,1,Government,Government - United States,1,1000001,U.S. Government - U.S. Agency for International Development,7,Other,430,Other Multisector,43010,Multisector aid,72x1010,Assistance for Eastern Europe and the Baltic States,1,Economic,215857,USAID Regional Program: Central and Eastern Europe Regional (SEED),UBJ00067,,,2,Obligations,2000,75629000,103153240,1,U.S. Agency for International Development,USAID,3,Project-Type,USAID Regional Program: Central and Eastern Europe Regional (SEED),25,Macroeconomic Foundation for Growth,999
14665989,70,BIH,Bosnia and Herzegovina,2,Europe and Eurasia,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,999,NULL,not applicable,1,Government,Government - United States,1,1000001,U.S. Government - U.S. Agency for International Development,7,Other,430,Other Multisector,43010,Multisector aid,72x1010,Assistance for Eastern Europe and the Baltic States,1,Economic,215812,USAID Country Program (SEED),UBJ00022,,,2,Obligations,2000,74171000,101164619,1,U.S. Agency for International Development,USAID,3,Project-Type,USAID Country Program (SEED),25,Macroeconomic Foundation for Growth,999
14666040,275,PSE,West Bank/Gaza,3,Middle East and North Africa,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,999,NULL,not applicable,1,Government,Government - United States,1,1000001,U.S. Government - U.S. Agency for International Development,7,Other,430,Other Multisector,43010,Multisector aid,72x1037,Economic Support Fund,1,Economic,215810,USAID Country Program (ESF),UBJ00020,,,2,Obligations,2000,72712000,99174634,1,U.S. Agency for International Development,USAID,3,Project-Type,USAID Country Program (ESF),25,Macroeconomic Foundation for Growth,999
14666190,1033,SSN,Sub-Saharan Africa Region,5,Sub-Saharan Africa,0,NULL,NULL,2,STATE,Department of State,67,PRM,"Population, Refugees, and Migration",7,Multilateral,Multilateral - Other,18,3990203,Multilateral Organizations - Redacted,9,Humanitarian,720,Emergency Response,72010,Material relief assistance and services,19x1143,"Department of  State, Migration and Refugee Assistance",1,Economic,83657,Refugee Assistance Activities,NULL,,,2,Obligations,2000,68070000,92843236,2,Department of State,STATE,2,Core contributions,"United States Population Migration and Refugee Assistance, Appropriation 1143.  Protection and assistance needs of refugees, migrants and conflict vicitms worldwide. [Multilateral Organizations - Redacted]",37,"Protection, Assistance and Solutions",65
14666703,170,COL,Colombia,6,Western Hemisphere,3,Upper Middle Income Country,UMIC,2,STATE,Department of State,62,INL,International Narcotics and Law Enforcement Affairs,1,Government,Government - United States,1,1000004,U.S. Government - Department of State,3,Governance,151,Government and Civil Society,15130,Legal and judicial development,11x1022,International Narcotics Control and Law Enforcement,1,Economic,74894,International Narcotics & Law Enforcement: Country Program,NULL,,,2,Obligations,2000,55929000,76283669,2,Department of State,STATE,3,Project-Type,Department of State's International Narcotics Control and Law Enforcement Program - Country Program,7,Rule of Law and Human Rights,58
14666781,360,IDN,Indonesia,1,East Asia and Oceania,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,999,NULL,not applicable,1,Government,Government - United States,1,1000001,U.S. Government - U.S. Agency for International Development,7,Other,430,Other Multisector,43010,Multisector aid,72x1021,"Agency for International Development, Development Assistance",1,Economic,215809,USAID Country Program (DA),UBJ00019,,,2,Obligations,2000,54425000,74232306,1,U.S. Agency for International Development,USAID,3,Project-Type,USAID Country Program (DA),25,Macroeconomic Foundation for Growth,999
14666950,332,HTI,Haiti,6,Western Hemisphere,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,999,NULL,not applicable,1,Government,Government - United States,1,1000001,U.S. Government - U.S. Agency for International Development,7,Other,430,Other Multisector,43010,Multisector aid,72x1037,Economic Support Fund,1,Economic,215810,USAID Country Program (ESF),UBJ00020,,,2,Obligations,2000,50761000,69234839,1,U.S. Agency for International Development,USAID,3,Project-Type,USAID Country Program (ESF),25,Macroeconomic Foundation for Growth,999
14667001,1002,WLD,World,7,World,0,NULL,NULL,1,USAID,U.S. Agency for International Development,999,NULL,not applicable,1,Government,Government - United States,1,1000001,U.S. Government - U.S. Agency for International Development,7,Other,430,Other Multisector,43010,Multisector aid,72x1021,"Agency for International Development, Development Assistance",1,Economic,215893,USAID: Recoveries (DA),UBJ00103,,,2,Obligations,2000,50021000,68225525,1,U.S. Agency for International Development,USAID,3,Project-Type,USAID: Recoveries (DA),25,Macroeconomic Foundation for Growth,999
14667012,400,JOR,Jordan,3,Middle East and North Africa,3,Upper Middle Income Country,UMIC,1,USAID,U.S. Agency for International Development,999,NULL,not applicable,1,Government,Government - United States,1,1000001,U.S. Government - U.S. Agency for International Development,7,Other,430,Other Multisector,43010,Multisector aid,72x1037,Economic Support Fund,1,Economic,215823,USAID Country Program:  Wye (ESF),UBJ00033,,,2,Obligations,2000,50000000,68196882,1,U.S. Agency for International Development,USAID,3,Project-Type,USAID Country Program:  Wye (ESF),25,Macroeconomic Foundation for Growth,999
14667049,1002,WLD,World,7,World,0,NULL,NULL,2,STATE,Department of State,62,INL,International Narcotics and Law Enforcement Affairs,1,Government,Government - United States,1,1000004,U.S. Government - Department of State,3,Governance,151,Government and Civil Society,15130,Legal and judicial development,11x1022,International Narcotics Control and Law Enforcement,1,Economic,74913,International Narcotics & Law Enforcement: Interregional Aviation Support,NULL,,,2,Obligations,2000,50000000,68196882,2,Department of State,STATE,3,Project-Type,Department of State's International Narcotics Control and Law Enforcement Program - Aviation Support,7,Rule of Law and Human Rights,58
14667147,275,PSE,West Bank/Gaza,3,Middle East and North Africa,2,Lower Middle Income Country,LMIC,1,USAID,U.S. Agency for International Development,999,NULL,not applicable,1,Government,Government - United States,1,1000001,U.S. Government - U.S. Agency for International Development,7,Other,430,Other Multisector,43010,Multisector aid,72x1037,Economic Support Fund,1,Economic,215824,USAID Country Program: Wye (ESF),UBJ00034,,,2,Obligations,2000,48675000,66389665,1,U.S. Agency for International Development,USAID,3,Project-Type,USAID Country Program: Wye (ESF),25,Macroeconomic Foundation for Growth,999
14667148,1015,EES,Europe and Eurasia Region,2,Europe and Eurasia,0,NULL,NULL,1,USAID,U.S. Agency for International Development,999,NULL,not applicable,1,Government,Government - United States,1,1000001,U.S. Government - U.S. Agency for International Development,7,Other,430,Other Multisector,43010,Multisector aid,72x1093,Assistance for the Independent States of the Former Soviet Union,1,Economic,215861,USAID Regional Program: Eurasia Regional (FSA),UBJ00071,,,2,Obligations,2000,48662000,66371934,1,U.S. Agency for International Development,USAID,3,Project-Type,USAID Regional Program: Eurasia Regional (FSA),25,Macroeconomic Foundation for Growth,999
14667178,68,BOL,Bolivia,6,Western Hemisphere,2,Lower Middle Income Country,LMIC,2,STATE,Department of State,62,INL,International Narcotics and Law Enforcement Affairs,1,Government,Government - United States,1,1000004,U.S. Government - Department of State,3,Governance,151,Government and Civil Society,15130,Legal and judicial development,11x1022,International Narcotics Control and Law Enforcement,1,Economic,74894,International Narcotics & Law Enforcement: Country Program,NULL,,,2,Obligations,2000,48000000,65469007,2,Department of State,STATE,3,Project-Type,Department of State's International Narcotics Control and Law Enforcement Program - Country Program,7,Rule of Law and Human Rights,58
14667184,604,PER,Peru,6,Western Hemisphere,3,Upper Middle Income Country,UMIC,2,STATE,Department of State,62,INL,International Narcotics and Law Enforcement Affairs,1,Government,Government - United States,1,1000004,U.S. Government - Department of State,3,Governance,151,Government and Civil Society,15130,Legal and judicial development,11x1022,International Narcotics Control and Law Enforcement,1,Economic,74894,International Narcotics & Law Enforcement: Country Program,NULL,,,2,Obligations,2000,48000000,65469007,2,Department of State,STATE,3,Project-Type,Department of State's International Narcotics Control and Law Enforcement Program - Country Program,7,Rule of Law and Human Rights,58
